procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6101012 142260 7262932    0    0     0    14 2622 5275  0  0 99  0  0
 0  0      0 6101012 142260 7262900    0    0     0    16 2524 5170  1  0 99  0  0
 1  0      0 6101012 142260 7262964    0    0     0    15 2623 5232  0  0 99  0  0
 0  0      0 6101516 142260 7262928    0    0     0    77 2647 5212  1  0 99  0  0
 0  0      0 6100720 142260 7262952    0    0     0    74 2781 5381  1  0 99  0  0
 0  0      0 6100728 142260 7262964    0    0     0    68 2532 5115  1  0 99  0  0
 0  0      0 6100972 142260 7262944    0    0     0    16 2524 5144  0  0 99  0  0
 0  0      0 6100516 142260 7262920    0    0     0    32 2711 5356  0  0 99  0  0
 0  1      0 6099816 142260 7262964    0    0     0   309 3892 7184  1  1 97  1  0
 0  0      0 6100180 142260 7263044    0    0     0   286 2700 5221  1  0 97  2  0
 0  0      0 6100432 142260 7262984    0    0     0    14 2590 5297  0  0 99  0  0
 0  0      0 6101008 142260 7262968    0    0     0    70 2603 5197  1  0 99  0  0
 0  0      0 6101008 142260 7262964    0    0     0    55 2640 5223  0  0 99  0  0
 0  0      0 6101008 142260 7262968    0    0     0    76 2658 5265  0  0 99  0  0
 0  0      0 6101292 142260 7263004    0    0     0    17 2616 5247  0  0 99  0  0
 0  0      0 6101292 142260 7263000    0    0     0    98 2577 5161  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6101008 142260 7262984    0    0     0    22 2593 5213  0  0 99  0  0
 0  0      0 6101008 142260 7262992    0    0     0   108 2641 5328  1  0 99  0  0
 0  0      0 6101260 142260 7262988    0    0     0    12 2640 5323  1  0 99  0  0
 0  0      0 6101260 142260 7262992    0    0     0    34 2663 5297  0  0 99  0  0
 4  0      0 6076588 142260 7263032    0    0     0    94 3129 6026  1  1 98  0  0
 0  0      0 6102028 142260 7263044    0    0     0   458 3418 6328  1  1 97  2  0
 1  0      0 6101824 142260 7263036    0    0     0    14 2493 5092  1  0 99  0  0
 0  0      0 6101824 142260 7263036    0    0     0    19 2621 5245  0  0 99  0  0
 0  0      0 6102060 142260 7263056    0    0     0    14 2584 5197  1  0 99  0  0
 0  0      0 6102328 142260 7263036    0    0     0    17 2603 5205  0  0 99  0  0
 0  0      0 6101744 142260 7263052    0    0     0    14 2593 5228  0  0 99  0  0
 0  0      0 6101696 142260 7263168    0    0     0    78 2694 5352  1  0 99  0  0
 0  0      0 6101696 142260 7263172    0    0     0    26 2511 5091  0  0 99  0  0
 3  0      0 6101728 142260 7263184    0    0     0    98 2737 5305  1  0 99  0  0
 0  0      0 6101484 142260 7263188    0    0     0    16 2501 5058  0  0 99  0  0
 0  0      0 6101452 142260 7263188    0    0     0    32 2513 5090  0  0 99  0  0
 0  0      0 6101420 142260 7263192    0    0     0    17 2658 5289  1  0 99  0  0
 0  0      0 6101048 142260 7263260    0    0     0   518 4106 7536  1  1 96  1  0
 0  0      0 6100804 142260 7263252    0    0     0    14 2766 5366  1  0 99  0  0
 3  0      0 6100836 142260 7263256    0    0     0    17 2705 5357  1  0 99  0  0
 1  0      0 6100836 142260 7263256    0    0     0    79 2686 5273  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6100576 142260 7263268    0    0     0    88 2733 5379  0  0 99  0  0
 0  0      0 6100332 142260 7263268    0    0     0    16 2604 5198  0  0 99  0  0
 0  0      0 6100300 142260 7263272    0    0     0    16 2426 5027  0  0 99  0  0
 0  0      0 6100332 142260 7263272    0    0     0    14 2505 5098  0  0 99  0  0
 0  0      0 6100332 142260 7263284    0    0     0    27 2632 5255  1  0 99  0  0
 0  0      0 6100332 142260 7263296    0    0     0    12 2528 5137  0  0 99  0  0
 0  0      0 6100332 142260 7263296    0    0     0    60 2758 5400  1  0 99  0  0
 0  0      0 6100332 142260 7263296    0    0     0    41 2652 5244  0  0 99  0  0
 0  0      0 6099640 142260 7263644    0    0     0   564 4065 7250  1  1 95  2  0
 0  0      0 6099608 142260 7263524    0    0     0    15 2658 5277  0  0 99  0  0
 0  0      0 6099608 142260 7263528    0    0     0    17 2540 5216  1  0 99  0  0
 0  0      0 6099640 142260 7263544    0    0     0    14 2519 5103  0  0 99  0  0
 0  0      0 6099624 142260 7263660    0    0     0    17 2675 5361  0  0 99  0  0
 0  0      0 6099624 142260 7263560    0    0     0    14 2520 5098  1  0 99  0  0
 0  0      0 6099640 142260 7263528    0    0     0    76 2658 5213  1  0 99  0  0
 0  0      0 6099892 142260 7263564    0    0     0    22 2712 5312  0  0 99  0  0
 0  0      0 6099640 142260 7263568    0    0     0    28 2610 5426  1  0 99  0  0
 5  0      0 6099640 142260 7263552    0    0     0    14 2653 5231  0  0 99  0  0
 0  0      0 6099892 142260 7263552    0    0     0   122 2624 5159  0  0 99  0  0
 0  0      0 6099892 142260 7263564    0    0     0    16 2530 5128  1  0 99  0  0
 0  0      0 6098928 142260 7263800    0    0     0   532 3988 7135  1  1 96  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6100472 142260 7263772    0    0     0    16 2614 5201  1  0 98  0  0
 0  0      0 6100472 142260 7263704    0    0     0    18 2666 5248  0  0 99  0  0
 0  0      0 6100252 142260 7263736    0    0     0    15 2502 5185  0  0 99  0  0
 0  0      0 6100252 142260 7263708    0    0     0    17 2539 5109  0  0 99  0  0
 0  0      0 6100488 142260 7263772    0    0     0    14 2577 5224  0  0 99  0  0
 0  0      0 6100552 142260 7263740    0    0     0    73 2578 5191  0  0 99  0  0
 2  0      0 6100300 142260 7263716    0    0     0    27 2605 5272  0  0 99  0  0
 0  0      0 6100284 142260 7263728    0    0     0    18 2481 5101  1  0 99  0  0
 0  0      0 6100268 142260 7263724    0    0     0    17 2605 5291  0  0 99  0  0
 0  0      0 6099756 142260 7263724    0    0     0    38 2619 5181  0  0 99  0  0
 0  0      0 6100048 142260 7263720    0    0     0    53 2526 5170  0  0 99  0  0
 0  0      0 6097796 142260 7264024    0    0     0   604 4025 7169  1  1 95  2  0
 0  0      0 6099088 142260 7264012    0    0     0    14 2508 5128  0  0 99  0  0
 0  0      0 6099056 142260 7264024    0    0     0    18 2623 5220  0  0 99  0  0
 0  0      0 6099056 142260 7264028    0    0     0    81 2778 5379  1  0 99  0  0
 0  0      0 6098804 142260 7264028    0    0     0    16 2711 5352  1  0 99  0  0
 0  0      0 6099040 142260 7264048    0    0     0    15 2570 5240  1  0 99  0  0
 0  0      0 6099072 142260 7264052    0    0     0    38 2618 5211  1  0 99  0  0
 0  0      0 6099088 142260 7264040    0    0     0    14 2608 5201  1  0 99  0  0
 0  0      0 6099088 142260 7264040    0    0     0    15 2450 5054  1  0 99  0  0
 0  0      0 6098844 142260 7264052    0    0     0    46 2535 5164  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6098844 142260 7264056    0    0     0    66 2566 5130  0  0 99  0  0
 0  0      0 6098844 142260 7264052    0    0     0    15 2599 5232  1  0 99  0  0
 1  0      0 6095928 142260 7264332    0    0     0   535 3930 7183  1  1 96  2  0
 0  0      0 6098032 142260 7264228    0    0     0    14 2738 5320  0  0 99  0  0
 0  0      0 6098032 142260 7264232    0    0     0    18 2645 5223  0  0 99  0  0
 0  0      0 6098048 142260 7264216    0    0     0    79 2606 5159  0  0 99  0  0
 0  0      0 6098048 142260 7264220    0    0     0    85 2721 5294  0  0 99  0  0
 0  0      0 6098000 142260 7264300    0    0     0    16 2645 5268  0  0 99  0  0
 0  0      0 6097684 142260 7264248    0    0     0    17 2680 5343  0  0 99  0  0
 0  0      0 6097952 142260 7264232    0    0     0    14 2591 5207  0  0 99  0  0
 0  0      0 6097952 142260 7264236    0    0     0    16 2547 5157  1  0 99  0  0
 0  0      0 6097960 142260 7264240    0    0     0    14 2675 5288  0  0 99  0  0
